exercise,tags
barbell bench press,chest;compound;front delt;push;triceps;upper
incline barbell bench press,chest;compound;front delt;push;triceps;upper
decline barbell bench press,chest;compound;front delt;push;triceps;upper
flat dumbbell bench press,chest;compound;front delt;push;triceps;upper
incline dumbbell bench press,chest;compound;front delt;push;triceps;upper
decline dumbbell bench press,chest;compound;front delt;push;triceps;upper
machine chest press,chest;compound;front delt;push;triceps;upper
smith machine bench press,chest;compound;front delt;push;triceps;upper
cable chest fly,chest;isolation;push;upper
low cable chest fly,chest;isolation;push;upper
high cable chest fly,chest;isolation;push;upper
pec deck machine,chest;isolation;push;upper
reverse pec deck rear delt fly,rear delt;shoulders;isolation;pull;upper
barbell overhead press,compound;front delt;push;shoulders;triceps;upper
seated barbell overhead press,compound;front delt;push;shoulders;triceps;upper
dumbbell shoulder press,compound;front delt;push;shoulders;triceps;upper
arnold press,compound;front delt;push;shoulders;triceps;upper
smith machine overhead press,compound;front delt;push;shoulders;triceps;upper
cable lateral raise,side delt;isolation;push;shoulders;upper
dumbbell lateral raise,side delt;isolation;push;shoulders;upper
machine lateral raise,side delt;isolation;push;shoulders;upper
dumbbell front raise,front delt;isolation;push;shoulders;upper
cable front raise,front delt;isolation;push;shoulders;upper
barbell front raise,front delt;isolation;push;shoulders;upper
rear delt fly (machine),rear delt;isolation;pull;shoulders;upper
rear delt dumbbell fly,rear delt;isolation;pull;shoulders;upper
rear delt cable fly,rear delt;isolation;pull;shoulders;upper
barbell bent-over row,back;compound;lats;pull;traps;upper;upper back
t-bar row,back;compound;lats;pull;traps;upper;upper back
machine t-bar row,back;compound;lats;pull;traps;upper;upper back
dumbbell one-arm row,back;compound;lats;pull;traps;upper;upper back
dumbbell seal row,back;compound;lats;pull;traps;upper;upper back
barbell seal row,back;compound;lats;pull;traps;upper;upper back
dumbbell chest-supported row,back;compound;lats;pull;traps;upper;upper back
cable seated row,back;compound;lats;pull;traps;upper;upper back
machine seated row,back;compound;lats;pull;traps;upper;upper back
wide-grip cable row,back;compound;lats;pull;traps;upper;upper back
close-grip cable row,back;compound;lats;pull;traps;upper;upper back
lat pulldown (cable),back;compound;lats;pull;upper
wide-grip lat pulldown,back;compound;lats;pull;upper
close-grip lat pulldown,back;compound;lats;pull;upper
reverse-grip lat pulldown,back;compound;lats;pull;upper
behind-the-neck lat pulldown,back;compound;lats;pull;upper
machine lat pulldown,back;compound;lats;pull;upper
assisted pull-up,back;compound;lats;pull;upper
bodyweight pull-up,back;compound;lats;pull;upper
weighted pull-up,back;compound;lats;pull;upper
neutral grip pull-up,back;compound;lats;pull;upper
chin-up,back;biceps;compound;pull;upper
weighted chin-up,back;biceps;compound;pull;upper
single arm cable pulldown,back;isolation;lats;pull;upper
straight arm lat pulldown,back;isolation;lats;pull;upper
cable lat pullover,back;isolation;lats;pull;upper
dumbbell pullover,back;isolation;lats;pull;upper;chest
barbell back squat,compound;glutes;hamstrings;legs;lower;quads
high bar back squat,compound;glutes;hamstrings;legs;lower;quads
low bar back squat,compound;glutes;hamstrings;legs;lower;quads
front squat (barbell),compound;glutes;hamstrings;legs;lower;quads
smith machine squat,compound;glutes;hamstrings;legs;lower;quads
hack squat machine,compound;glutes;hamstrings;legs;lower;quads
v-squat machine,compound;glutes;hamstrings;legs;lower;quads
pendulum squat machine,compound;glutes;hamstrings;legs;lower;quads
leg press machine,compound;glutes;hamstrings;legs;lower;quads
horizontal leg press,compound;glutes;hamstrings;legs;lower;quads
45-degree leg press,compound;glutes;hamstrings;legs;lower;quads
dumbbell goblet squat,compound;glutes;hamstrings;legs;lower;quads
dumbbell sumo squat,compound;glutes;hamstrings;legs;lower;quads
barbell sumo squat,compound;glutes;hamstrings;legs;lower;quads
walking lunges (dumbbell),compound;glutes;hamstrings;legs;lower;quads;unilateral
walking lunges (barbell),compound;glutes;hamstrings;legs;lower;quads;unilateral
bulgarian split squat (dumbbell),compound;glutes;hamstrings;legs;lower;quads;unilateral
bulgarian split squat (barbell),compound;glutes;hamstrings;legs;lower;quads;unilateral
step-ups (dumbbell),compound;glutes;hamstrings;legs;lower;quads;unilateral
step-ups (barbell),compound;glutes;hamstrings;legs;lower;quads;unilateral
romanian deadlift (barbell),compound;glutes;hamstrings;legs;lower;lower back;traps
romanian deadlift (dumbbell),compound;glutes;hamstrings;legs;lower;lower back;traps
conventional deadlift,compound;glutes;hamstrings;legs;lower;lower back;traps
sumo deadlift,compound;glutes;hamstrings;legs;lower;lower back;traps
trap bar deadlift,compound;glutes;hamstrings;legs;lower;lower back;traps
deficit deadlift,compound;glutes;hamstrings;legs;lower;lower back;traps
snatch grip deadlift,compound;glutes;hamstrings;legs;lower;lower back;traps
rack pull,compound;glutes;hamstrings;legs;lower;lower back;traps
single leg romanian deadlift (dumbbell),compound;glutes;hamstrings;legs;lower;unilateral
single leg romanian deadlift (barbell),compound;glutes;hamstrings;legs;lower;unilateral
good mornings (barbell),compound;glutes;hamstrings;legs;lower;lower back
seated leg curl (machine),isolation;hamstrings;legs;lower
lying leg curl (machine),isolation;hamstrings;legs;lower
standing single leg leg curl,isolation;hamstrings;legs;lower;unilateral
glute bridge (barbell),compound;glutes;hamstrings;legs;lower
